action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,frequency,potential_crash_before_intervention,potential_crash_after_intervention
cruise,False,False,False,False,True,False,True,True,True,change_to_left,1.0,2519,True,True
change_to_left,True,False,False,True,False,False,False,True,True,cruise,1.0,2500,True,True
change_to_right,True,False,False,True,False,False,False,True,True,change_to_right,1.0,2504,True,True
cruise,True,False,False,True,False,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,False,True,False,False,True,True,True,cruise,1.0,2500,True,True
change_to_left,True,False,False,True,False,True,False,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,False,True,False,True,False,True,True,change_to_right,1.0,2507,True,True
cruise,True,False,False,True,False,True,False,True,True,change_to_left,1.0,2520,True,True
cruise,True,False,False,True,False,True,True,True,True,swerve_right,1.0,2504,True,False
change_to_right,True,False,False,True,False,True,True,True,True,change_to_right,1.0,2500,True,True
cruise,True,False,False,True,True,False,False,True,True,change_to_right,1.0,2503,True,True
change_to_left,False,False,False,False,True,False,True,True,True,cruise,1.0,2556,True,True
change_to_left,True,False,False,True,True,False,False,True,True,cruise,1.0,2500,True,True
change_to_right,True,False,False,True,True,False,False,True,True,swerve_right,1.0,2502,True,False
cruise,True,False,False,True,True,False,True,True,True,keep,1.0,2500,True,False
change_to_right,True,False,False,True,True,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_left,True,False,False,True,True,True,False,True,True,keep,1.0,2500,True,False
cruise,True,False,False,True,True,True,False,True,True,change_to_left,1.0,2518,True,True
change_to_right,True,False,False,True,True,True,False,True,True,swerve_left,1.0,2508,True,False
cruise,True,False,False,True,True,True,True,True,True,cruise,1.0,2509,True,True
change_to_right,True,False,False,True,True,True,True,True,True,change_to_left,1.0,2500,True,False
change_to_left,True,False,True,False,False,False,False,True,True,change_to_left,1.0,2500,True,True
change_to_right,False,False,False,False,True,True,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,True,False,True,False,False,False,False,True,True,cruise,1.0,2500,True,False
change_to_left,True,False,True,False,False,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,True,False,False,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_left,True,False,True,False,False,True,False,True,True,cruise,1.0,2500,True,False
change_to_right,True,False,True,False,False,True,False,True,True,swerve_left,1.0,2500,True,False
change_to_left,True,False,True,False,False,True,True,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,True,False,False,True,True,True,True,cruise,1.0,2513,True,False
change_to_left,True,False,True,False,True,False,False,True,True,cruise,1.0,2500,True,False
change_to_right,True,False,True,False,True,False,False,True,True,swerve_left,1.0,2522,True,False
change_to_left,True,False,True,False,True,False,True,True,True,swerve_right,1.0,2500,True,False
cruise,False,False,False,False,False,False,False,True,True,swerve_right,1.0,2500,True,False
cruise,False,False,False,False,True,True,False,True,True,change_to_right,1.0,2500,True,True
change_to_right,True,False,True,False,True,False,True,True,True,cruise,1.0,2500,True,False
change_to_left,True,False,True,False,True,True,False,True,True,change_to_right,1.0,2500,True,True
change_to_right,True,False,True,False,True,True,False,True,True,change_to_right,1.0,2506,True,True
change_to_left,True,False,True,False,True,True,True,True,True,change_to_left,1.0,2500,True,True
change_to_right,True,False,True,False,True,True,True,True,True,change_to_left,1.0,2501,True,True
change_to_left,True,False,True,True,False,False,False,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,True,True,False,False,False,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,True,True,False,False,True,True,True,keep,1.0,2501,True,False
change_to_left,True,False,True,True,False,True,False,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,True,True,False,True,False,True,True,cruise,1.0,2500,True,False
change_to_left,False,False,False,False,True,True,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,True,False,True,True,False,True,True,True,True,change_to_left,1.0,2676,True,False
change_to_left,True,False,True,True,True,False,False,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,False,True,True,True,False,False,True,True,change_to_left,1.0,2506,True,True
change_to_right,True,False,True,True,True,False,True,True,True,swerve_left,1.0,2501,True,False
change_to_left,True,False,True,True,True,True,False,True,True,change_to_left,1.0,2501,True,True
change_to_right,True,False,True,True,True,True,False,True,True,change_to_left,1.0,2530,True,True
change_to_right,True,False,True,True,True,True,True,True,True,change_to_left,1.0,2598,True,False
change_to_left,True,True,False,False,False,False,False,True,True,swerve_left,1.0,2500,True,False
cruise,True,True,False,False,False,False,False,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,True,False,False,False,False,False,True,True,swerve_left,1.0,2500,True,False
cruise,False,False,False,False,True,True,True,True,True,change_to_left,1.0,3640,True,True
change_to_left,True,True,False,False,False,False,True,True,True,change_to_left,1.0,2505,True,True
cruise,True,True,False,False,False,False,True,True,True,cruise,1.0,2500,True,True
change_to_right,True,True,False,False,False,False,True,True,True,keep,1.0,2500,True,False
change_to_left,True,True,False,False,False,True,False,True,True,swerve_right,1.0,2500,True,False
cruise,True,True,False,False,False,True,False,True,True,swerve_right,1.0,2613,True,False
change_to_right,True,True,False,False,False,True,False,True,True,cruise,1.0,2556,True,True
change_to_left,True,True,False,False,False,True,True,True,True,change_to_right,1.0,2808,True,True
cruise,True,True,False,False,False,True,True,True,True,change_to_left,1.0,2546,True,True
change_to_right,True,True,False,False,False,True,True,True,True,change_to_right,1.0,2510,True,True
change_to_left,True,True,False,False,True,False,False,True,True,cruise,1.0,2518,True,True
change_to_right,False,False,False,False,True,True,True,True,True,cruise,1.0,2534,True,True
cruise,True,True,False,False,True,False,False,True,True,cruise,1.0,2986,True,True
change_to_right,True,True,False,False,True,False,False,True,True,change_to_left,1.0,2500,True,True
change_to_left,True,True,False,False,True,False,True,True,True,swerve_right,1.0,2831,True,False
cruise,True,True,False,False,True,False,True,True,True,swerve_left,1.0,2700,True,False
change_to_right,True,True,False,False,True,False,True,True,True,change_to_left,1.0,2501,True,True
change_to_left,True,True,False,False,True,True,False,True,True,swerve_right,1.0,2509,True,False
cruise,True,True,False,False,True,True,False,True,True,swerve_left,1.0,3727,True,False
change_to_right,True,True,False,False,True,True,False,True,True,cruise,1.0,2819,True,True
change_to_left,True,True,False,False,True,True,True,True,True,swerve_left,0.0015259451272715,4106,True,False
cruise,True,True,False,False,True,True,True,True,True,keep,0.0010468943042895,4282,True,False
change_to_left,False,False,False,False,True,True,True,True,True,change_to_left,1.0,2571,True,True
change_to_right,True,True,False,False,True,True,True,True,True,swerve_right,0.0023271770040941,2630,True,False
cruise,True,True,False,True,False,False,False,True,True,swerve_right,1.0,2504,True,False
change_to_left,True,True,False,True,False,False,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,True,True,False,True,False,False,False,True,True,swerve_right,1.0,2501,True,False
cruise,True,True,False,True,False,False,True,True,True,change_to_left,1.0,2500,True,False
change_to_right,True,True,False,True,False,False,True,True,True,swerve_left,1.0,2500,True,False
change_to_left,True,True,False,True,False,True,False,True,True,cruise,1.0,2500,True,True
change_to_right,True,True,False,True,False,True,False,True,True,swerve_left,1.0,2533,True,False
cruise,True,True,False,True,False,True,False,True,True,swerve_right,1.0,2597,True,False
cruise,True,True,False,True,False,True,True,True,True,change_to_left,1.0,2634,True,False
change_to_right,False,False,False,True,False,False,False,True,True,change_to_right,1.0,2500,True,True
change_to_right,True,True,False,True,False,True,True,True,True,keep,1.0,2500,True,False
cruise,True,True,False,True,True,False,False,True,True,swerve_right,1.0,2674,True,False
change_to_left,True,True,False,True,True,False,False,True,True,change_to_left,1.0,2604,True,True
change_to_right,True,True,False,True,True,False,False,True,True,swerve_right,1.0,2501,True,False
cruise,True,True,False,True,True,False,True,True,True,swerve_right,1.0,2661,True,False
change_to_right,True,True,False,True,True,False,True,True,True,change_to_left,1.0,2500,True,False
change_to_left,True,True,False,True,True,True,False,True,True,cruise,1.0,2642,True,True
cruise,True,True,False,True,True,True,False,True,True,change_to_right,1.0,3387,True,True
change_to_right,True,True,False,True,True,True,False,True,True,swerve_right,1.0,2558,True,False
cruise,True,True,False,True,True,True,True,True,True,change_to_right,1.0,3454,True,True
change_to_left,False,False,False,True,False,False,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,True,True,False,True,True,True,True,True,True,change_to_left,1.0,2511,True,False
change_to_left,True,True,True,False,False,False,False,True,True,cruise,1.0,2500,True,False
change_to_right,True,True,True,False,False,False,False,True,True,change_to_left,1.0,2500,True,True
change_to_left,True,True,True,False,False,False,True,True,True,cruise,1.0,2500,True,False
change_to_right,True,True,True,False,False,False,True,True,True,change_to_left,1.0,2500,True,True
change_to_left,True,True,True,False,False,True,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,True,True,True,False,False,True,False,True,True,keep,1.0,2524,True,False
change_to_left,True,True,True,False,False,True,True,True,True,keep,1.0,2500,True,False
change_to_right,True,True,True,False,False,True,True,True,True,cruise,1.0,4563,True,False
change_to_left,True,True,True,False,True,False,False,True,True,keep,1.0,2500,True,False
change_to_right,False,False,False,True,False,False,True,True,True,change_to_right,1.0,2500,True,True
change_to_right,True,True,True,False,True,False,False,True,True,swerve_right,1.0,2509,True,False
change_to_left,True,True,True,False,True,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_right,True,True,True,False,True,False,True,True,True,change_to_left,1.0,2500,True,True
change_to_left,True,True,True,False,True,True,False,True,True,change_to_right,1.0,2500,True,True
change_to_right,True,True,True,False,True,True,False,True,True,change_to_right,1.0,2534,True,True
change_to_left,True,True,True,False,True,True,True,True,True,change_to_left,1.0,2501,True,True
change_to_right,True,True,True,False,True,True,True,True,True,swerve_left,1.0,2927,True,False
change_to_left,True,True,True,True,False,False,False,True,True,keep,1.0,2506,True,False
change_to_right,True,True,True,True,False,False,False,True,True,change_to_left,1.0,2500,True,True
change_to_right,True,True,True,True,False,False,True,True,True,swerve_right,1.0,2500,True,False
change_to_left,False,False,False,True,False,False,True,True,True,change_to_left,1.0,2501,True,True
change_to_left,True,True,True,True,False,True,False,True,True,keep,1.0,2502,True,False
change_to_right,True,True,True,True,False,True,False,True,True,cruise,1.0,2503,True,False
change_to_right,True,True,True,True,False,True,True,True,True,change_to_right,1.0,7267,True,True
change_to_left,True,True,True,True,True,False,False,True,True,swerve_right,1.0,2534,True,False
change_to_right,True,True,True,True,True,False,False,True,True,swerve_left,1.0,2500,True,False
change_to_right,True,True,True,True,True,False,True,True,True,swerve_left,1.0,2500,True,False
change_to_left,True,True,True,True,True,True,False,True,True,swerve_left,1.0,2528,True,False
change_to_right,True,True,True,True,True,True,False,True,True,change_to_right,1.0,2510,True,True
change_to_right,True,True,True,True,True,True,True,True,True,cruise,1.0,5308,True,False
keep,False,False,False,False,False,False,False,False,True,change_to_left,1.0,0,False,True
change_to_right,False,False,False,True,False,True,False,True,True,swerve_left,1.0,2500,True,False
keep,False,False,False,False,False,False,True,False,True,change_to_right,1.0,491,False,True
keep,False,False,False,False,False,True,False,False,True,swerve_left,1.0,0,False,False
keep,False,False,False,False,False,True,True,False,True,change_to_left,1.0,69359,False,True
keep,False,False,False,False,True,False,False,False,True,change_to_left,1.0,0,False,True
keep,False,False,False,False,True,False,True,False,True,change_to_left,1.0,341,False,True
keep,False,False,False,False,True,True,False,False,True,swerve_left,1.0,0,False,False
keep,False,False,False,False,True,True,True,False,True,keep,1.0,24208,False,True
cruise,False,False,False,True,False,False,False,False,True,keep,1.0,0,False,False
keep,False,False,False,True,False,False,False,False,True,swerve_left,1.0,0,False,False
cruise,False,False,False,True,False,False,True,False,True,cruise,1.0,1742,False,True
change_to_left,False,False,False,False,False,False,False,True,True,cruise,1.0,2500,True,True
change_to_left,False,False,False,True,False,True,False,True,True,swerve_left,1.0,2500,True,False
keep,False,False,False,True,False,False,True,False,True,cruise,1.0,1,False,False
cruise,False,False,False,True,False,True,False,False,True,keep,1.0,0,False,False
keep,False,False,False,True,False,True,False,False,True,swerve_right,1.0,0,False,False
cruise,False,False,False,True,False,True,True,False,True,swerve_right,1.0,13396,False,False
keep,False,False,False,True,False,True,True,False,True,keep,1.0,14,False,True
cruise,False,False,False,True,True,False,False,False,True,change_to_right,1.0,0,False,True
keep,False,False,False,True,True,False,False,False,True,keep,1.0,0,False,True
cruise,False,False,False,True,True,False,True,False,True,swerve_right,1.0,6365,False,False
keep,False,False,False,True,True,False,True,False,True,swerve_right,1.0,0,False,False
cruise,False,False,False,True,True,True,False,False,True,cruise,1.0,0,False,True
change_to_right,False,False,False,True,False,True,True,True,True,cruise,1.0,2502,True,False
keep,False,False,False,True,True,True,False,False,True,keep,1.0,0,False,True
cruise,False,False,False,True,True,True,True,False,True,change_to_right,1.0,15206,False,True
keep,False,False,False,True,True,True,True,False,True,keep,1.0,47,False,True
keep,False,False,True,False,False,False,False,False,True,keep,1.0,0,False,True
keep,False,False,True,False,False,False,True,False,True,swerve_right,1.0,86,False,False
keep,False,False,True,False,False,True,False,False,True,swerve_right,1.0,0,False,False
keep,False,False,True,False,False,True,True,False,True,cruise,1.0,24493,False,True
keep,False,False,True,False,True,False,False,False,True,swerve_right,1.0,0,False,False
keep,False,False,True,False,True,False,True,False,True,change_to_right,1.0,2,False,True
keep,False,False,True,False,True,True,False,False,True,swerve_left,1.0,11,False,False
change_to_left,False,False,False,True,False,True,True,True,True,swerve_right,1.0,2765,True,False
keep,False,False,True,False,True,True,True,False,True,swerve_right,1.0,8716,False,False
cruise,False,False,True,True,False,False,False,False,True,swerve_left,1.0,0,False,False
keep,False,False,True,True,False,False,False,False,True,change_to_left,1.0,0,False,True
cruise,False,False,True,True,False,False,True,False,True,change_to_right,1.0,2173,False,True
keep,False,False,True,True,False,False,True,False,True,swerve_left,1.0,3,False,False
cruise,False,False,True,True,False,True,False,False,True,swerve_right,1.0,1,False,False
keep,False,False,True,True,False,True,False,False,True,change_to_left,1.0,0,False,True
cruise,False,False,True,True,False,True,True,False,True,change_to_right,1.0,24660,False,True
keep,False,False,True,True,False,True,True,False,True,change_to_right,1.0,1,False,True
cruise,False,False,True,True,True,False,False,False,True,change_to_right,1.0,0,False,True
change_to_right,False,False,False,True,True,False,False,True,True,keep,1.0,2500,True,False
keep,False,False,True,True,True,False,False,False,True,change_to_right,1.0,0,False,True
cruise,False,False,True,True,True,False,True,False,True,cruise,1.0,2047,False,True
keep,False,False,True,True,True,False,True,False,True,swerve_left,1.0,0,False,False
cruise,False,False,True,True,True,True,False,False,True,swerve_right,1.0,0,False,False
keep,False,False,True,True,True,True,False,False,True,swerve_right,1.0,0,False,False
cruise,False,False,True,True,True,True,True,False,True,cruise,1.0,16270,False,True
keep,False,False,True,True,True,True,True,False,True,change_to_left,1.0,37,False,True
keep,False,True,False,False,False,False,False,False,True,swerve_right,1.0,0,False,False
keep,False,True,False,False,False,False,True,False,True,cruise,1.0,18,False,True
keep,False,True,False,False,False,True,False,False,True,change_to_right,1.0,0,False,True
change_to_left,False,False,False,True,True,False,False,True,True,change_to_right,1.0,2500,True,True
keep,False,True,False,False,False,True,True,False,True,swerve_left,1.0,120752,False,False
keep,False,True,False,False,True,False,False,False,True,change_to_right,1.0,0,False,True
keep,False,True,False,False,True,False,True,False,True,keep,1.0,151,False,True
keep,False,True,False,False,True,True,False,False,True,keep,1.0,0,False,True
keep,False,True,False,False,True,True,True,False,True,change_to_right,1.0,63052,False,True
cruise,False,True,False,True,False,False,False,False,True,cruise,1.0,0,False,True
keep,False,True,False,True,False,False,False,False,True,change_to_left,1.0,0,False,True
cruise,False,True,False,True,False,False,True,False,True,change_to_right,1.0,1809,False,True
keep,False,True,False,True,False,False,True,False,True,change_to_left,1.0,0,False,True
cruise,False,True,False,True,False,True,False,False,True,cruise,1.0,0,False,True
change_to_right,False,False,False,True,True,False,True,True,True,change_to_left,1.0,2500,True,True
keep,False,True,False,True,False,True,False,False,True,swerve_left,1.0,0,False,False
cruise,False,True,False,True,False,True,True,False,True,keep,1.0,11030,False,False
keep,False,True,False,True,False,True,True,False,True,swerve_right,1.0,24,False,False
cruise,False,True,False,True,True,False,False,False,True,keep,1.0,3,False,False
keep,False,True,False,True,True,False,False,False,True,change_to_left,1.0,0,False,True
cruise,False,True,False,True,True,False,True,False,True,change_to_right,1.0,13080,False,True
keep,False,True,False,True,True,False,True,False,True,swerve_left,1.0,0,False,False
cruise,False,True,False,True,True,True,False,False,True,cruise,1.0,2,False,True
keep,False,True,False,True,True,True,False,False,True,swerve_left,1.0,0,False,False
cruise,False,True,False,True,True,True,True,False,True,cruise,1.0,33843,False,True
change_to_left,False,False,False,True,True,False,True,True,True,swerve_right,1.0,2724,True,False
keep,False,True,False,True,True,True,True,False,True,change_to_left,1.0,466,False,True
change_to_right,False,True,True,False,False,False,False,False,True,swerve_left,1.0,0,False,False
keep,False,True,True,False,False,False,False,False,True,swerve_left,1.0,2,False,False
change_to_right,False,True,True,False,False,False,True,False,True,swerve_right,1.0,4,False,False
keep,False,True,True,False,False,False,True,False,True,swerve_right,1.0,0,False,False
change_to_right,False,True,True,False,False,True,False,False,True,change_to_right,1.0,36,False,True
keep,False,True,True,False,False,True,False,False,True,change_to_right,1.0,0,False,False
change_to_right,False,True,True,False,False,True,True,False,True,swerve_right,1.0,4436,False,False
keep,False,True,True,False,False,True,True,False,True,change_to_left,1.0,1863,False,True
change_to_right,False,True,True,False,True,False,False,False,True,change_to_left,1.0,48,False,True
change_to_right,False,False,False,True,True,True,False,True,True,cruise,1.0,2500,True,False
keep,False,True,True,False,True,False,False,False,True,change_to_right,1.0,0,False,False
change_to_right,False,True,True,False,True,False,True,False,True,change_to_left,1.0,763,False,True
keep,False,True,True,False,True,False,True,False,True,change_to_left,1.0,2,False,True
change_to_right,False,True,True,False,True,True,False,False,True,keep,1.0,79,False,False
keep,False,True,True,False,True,True,False,False,True,cruise,1.0,0,False,True
change_to_right,False,True,True,False,True,True,True,False,True,cruise,1.0,1310,False,True
keep,False,True,True,False,True,True,True,False,True,swerve_left,1.0,16,False,False
change_to_right,False,True,True,True,False,False,False,False,True,change_to_left,1.0,1,False,True
cruise,False,True,True,True,False,False,False,False,True,keep,1.0,0,False,False
keep,False,True,True,True,False,False,False,False,True,swerve_left,1.0,0,False,False
change_to_left,False,False,False,True,True,True,False,True,True,change_to_left,1.0,2500,True,True
change_to_right,False,True,True,True,False,False,True,False,True,swerve_left,1.0,34,False,False
cruise,False,True,True,True,False,False,True,False,True,change_to_right,1.0,10,False,False
keep,False,True,True,True,False,False,True,False,True,change_to_left,1.0,0,False,True
change_to_right,False,True,True,True,False,True,False,False,True,swerve_left,1.0,46,False,False
cruise,False,True,True,True,False,True,False,False,True,swerve_right,1.0,6,False,False
keep,False,True,True,True,False,True,False,False,True,change_to_right,1.0,0,False,False
change_to_right,False,True,True,True,False,True,True,False,True,change_to_right,1.0,29084,False,True
cruise,False,True,True,True,False,True,True,False,True,swerve_right,1.0,7453,False,False
keep,False,True,True,True,False,True,True,False,True,change_to_left,1.0,21,False,True
change_to_right,False,True,True,True,True,False,False,False,True,change_to_left,1.0,7,False,True
change_to_right,False,False,False,True,True,True,True,True,True,change_to_left,1.0,2500,True,True
cruise,False,True,True,True,True,False,False,False,True,swerve_right,1.0,5,False,False
keep,False,True,True,True,True,False,False,False,True,swerve_right,1.0,0,False,False
change_to_right,False,True,True,True,True,False,True,False,True,keep,1.0,3,False,False
cruise,False,True,True,True,True,False,True,False,True,swerve_right,1.0,138,False,False
keep,False,True,True,True,True,False,True,False,True,change_to_right,1.0,12,False,False
change_to_right,False,True,True,True,True,True,False,False,True,cruise,1.0,5,False,False
cruise,False,True,True,True,True,True,False,False,True,change_to_right,1.0,12,False,False
keep,False,True,True,True,True,True,False,False,True,change_to_left,1.0,0,False,True
change_to_right,False,True,True,True,True,True,True,False,True,change_to_left,1.0,3958,False,True
cruise,False,True,True,True,True,True,True,False,True,change_to_left,1.0,35440,False,True
change_to_right,False,False,False,False,False,False,True,True,True,keep,1.0,2500,True,False
change_to_left,False,False,False,True,True,True,True,True,True,keep,1.0,3215,True,False
keep,False,True,True,True,True,True,True,False,True,keep,1.0,378,False,True
keep,True,False,False,False,False,False,False,False,True,change_to_right,1.0,0,False,True
keep,True,False,False,False,False,False,True,False,True,keep,1.0,0,False,True
keep,True,False,False,False,False,True,False,False,True,cruise,1.0,22,False,True
keep,True,False,False,False,False,True,True,False,True,keep,1.0,97,False,True
keep,True,False,False,False,True,False,False,False,True,change_to_left,1.0,36,False,True
keep,True,False,False,False,True,False,True,False,True,swerve_right,1.0,0,False,False
keep,True,False,False,False,True,True,False,False,True,change_to_right,1.0,1682,False,True
keep,True,False,False,False,True,True,True,False,True,cruise,1.0,15919,False,True
keep,True,False,False,True,False,False,False,False,True,keep,1.0,1,False,True
change_to_right,False,False,True,False,False,False,False,True,True,swerve_right,1.0,2500,True,False
change_to_left,True,False,False,True,False,False,True,False,True,swerve_right,1.0,0,False,False
keep,True,False,False,True,False,False,True,False,True,swerve_left,1.0,0,False,False
keep,True,False,False,True,False,True,False,False,True,change_to_right,1.0,1,False,True
change_to_left,True,False,False,True,False,True,True,False,True,change_to_left,1.0,1,False,True
keep,True,False,False,True,False,True,True,False,True,swerve_right,1.0,2,False,False
keep,True,False,False,True,True,False,False,False,True,change_to_right,1.0,12,False,True
change_to_left,True,False,False,True,True,False,True,False,True,cruise,1.0,101,False,True
keep,True,False,False,True,True,False,True,False,True,swerve_right,1.0,22,False,False
keep,True,False,False,True,True,True,False,False,True,swerve_right,1.0,105,False,False
