action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id,ranking,frequency,potential_crash_before_intervention,potential_crash_after_intervention,best_intervention
change_to_right,False,True,False,True,False,False,True,True,True,keep,0.000999,4.0828611850738525,107,1,2500,True,False,*
change_to_right,False,True,False,True,False,False,True,True,True,swerve_left,0.0010047030467815,4.018946409225464,107,2,NA,True,False,
change_to_right,False,True,False,True,False,False,True,True,True,swerve_right,0.0011326605084351,4.037384510040283,107,3,NA,True,False,
change_to_right,False,True,False,True,False,False,True,True,True,cruise,0.2217445751803164,4.031155586242676,107,4,NA,True,False,
change_to_right,False,True,False,True,False,False,True,True,True,change_to_left,0.8762110685309593,4.023550271987915,107,5,NA,True,True,
change_to_right,False,True,False,True,False,False,True,True,True,change_to_right,1.0,2.9913105964660645,107,6,NA,True,True,
change_to_left,False,True,False,True,False,False,True,True,True,keep,0.000999,4.080822944641113,108,1,2502,True,False,*
change_to_left,False,True,False,True,False,False,True,True,True,swerve_left,0.0010047030467815,4.069655179977417,108,2,NA,True,False,
change_to_left,False,True,False,True,False,False,True,True,True,swerve_right,0.0011323641295041,4.009068727493286,108,3,NA,True,False,
change_to_left,False,True,False,True,False,False,True,True,True,cruise,0.2217468188832567,4.018328666687012,108,4,NA,True,False,
change_to_left,False,True,False,True,False,False,True,True,True,change_to_right,0.8794775735614678,4.034896612167358,108,5,NA,True,True,
change_to_left,False,True,False,True,False,False,True,True,True,change_to_left,1.0,2.9709837436676025,108,6,NA,True,True,
change_to_right,False,True,False,True,False,True,False,True,True,keep,0.0009989999999999,4.054458618164063,109,1,2500,True,False,*
change_to_right,False,True,False,True,False,True,False,True,True,swerve_left,0.0010047030467815,4.033377647399902,109,2,NA,True,False,
change_to_right,False,True,False,True,False,True,False,True,True,swerve_right,0.0011326604873254,4.034627676010132,109,3,NA,True,False,
change_to_right,False,True,False,True,False,True,False,True,True,cruise,0.2212415408587855,3.973604679107666,109,4,NA,True,False,
change_to_right,False,True,False,True,False,True,False,True,True,change_to_left,0.8762091340047311,4.05742621421814,109,5,NA,True,True,
change_to_right,False,True,False,True,False,True,False,True,True,change_to_right,1.0,2.998220443725586,109,6,NA,True,True,
cruise,False,False,False,False,False,True,True,True,True,keep,0.000999,4.086703777313232,11,1,3937,True,False,*
cruise,False,False,False,False,False,True,True,True,True,swerve_left,0.0010100624620102,4.0246195793151855,11,2,NA,True,False,
cruise,False,False,False,False,False,True,True,True,True,swerve_right,0.0010304157390567,3.996480464935303,11,3,NA,True,False,
cruise,False,False,False,False,False,True,True,True,True,change_to_left,0.8764624579509008,4.110849857330322,11,4,NA,True,True,
cruise,False,False,False,False,False,True,True,True,True,change_to_right,0.8794518663609235,4.011155605316162,11,5,NA,True,True,
cruise,False,False,False,False,False,True,True,True,True,cruise,1.0,3.006162166595459,11,6,NA,True,True,
change_to_left,False,True,False,True,False,True,False,True,True,keep,0.000999,4.08859658241272,110,1,2500,True,False,*
change_to_left,False,True,False,True,False,True,False,True,True,swerve_left,0.0010047030467815,4.031030178070068,110,2,NA,True,False,
change_to_left,False,True,False,True,False,True,False,True,True,swerve_right,0.0011323641295041,4.082013845443726,110,3,NA,True,False,
change_to_left,False,True,False,True,False,True,False,True,True,cruise,0.221241234463152,4.0409836769104,110,4,NA,True,False,
change_to_left,False,True,False,True,False,True,False,True,True,change_to_right,0.8794839455111376,4.0521299839019775,110,5,NA,True,True,
change_to_left,False,True,False,True,False,True,False,True,True,change_to_left,1.0,3.0997748374938965,110,6,NA,True,True,
change_to_right,False,True,False,True,False,True,True,True,True,keep,0.0009989999999999,4.038496732711792,111,1,2566,True,False,*
change_to_right,False,True,False,True,False,True,True,True,True,swerve_left,0.0010047549269164,4.040181636810303,111,2,NA,True,False,
change_to_right,False,True,False,True,False,True,True,True,True,swerve_right,0.0011323641295041,4.029076099395752,111,3,NA,True,False,
change_to_right,False,True,False,True,False,True,True,True,True,cruise,0.224347988885122,4.005843162536621,111,4,NA,True,False,
change_to_right,False,True,False,True,False,True,True,True,True,change_to_left,0.875840774425803,4.040706872940064,111,5,NA,True,True,
change_to_right,False,True,False,True,False,True,True,True,True,change_to_right,1.0,3.0025177001953125,111,6,NA,True,True,
change_to_left,False,True,False,True,False,True,True,True,True,keep,0.0009989999999999,4.133379459381104,112,1,3488,True,False,*
change_to_left,False,True,False,True,False,True,True,True,True,swerve_left,0.0010051057369274,4.035989046096802,112,2,NA,True,False,
change_to_left,False,True,False,True,False,True,True,True,True,swerve_right,0.0011323641295041,3.994050025939941,112,3,NA,True,False,
change_to_left,False,True,False,True,False,True,True,True,True,cruise,0.2243476906122219,4.012143850326538,112,4,NA,True,False,
change_to_left,False,True,False,True,False,True,True,True,True,change_to_right,0.8794569727463101,3.97665810585022,112,5,NA,True,True,
change_to_left,False,True,False,True,False,True,True,True,True,change_to_left,1.0,2.986307144165039,112,6,NA,True,True,
change_to_right,False,True,False,True,True,False,False,True,True,keep,0.000999,4.055176734924316,113,1,2500,True,False,*
change_to_right,False,True,False,True,True,False,False,True,True,swerve_left,0.0010047030467815,4.037719249725342,113,2,NA,True,False,
change_to_right,False,True,False,True,True,False,False,True,True,swerve_right,0.0011323641295041,4.035187721252441,113,3,NA,True,False,
change_to_right,False,True,False,True,True,False,False,True,True,cruise,0.2212423449865393,4.072730541229248,113,4,NA,True,False,
change_to_right,False,True,False,True,True,False,False,True,True,change_to_left,0.8762099365494487,4.013416767120361,113,5,NA,True,True,
change_to_right,False,True,False,True,True,False,False,True,True,change_to_right,1.0,3.023735761642456,113,6,NA,True,True,
change_to_left,False,True,False,True,True,False,False,True,True,keep,0.000999,4.063985347747803,114,1,2506,True,False,*
change_to_left,False,True,False,True,True,False,False,True,True,swerve_left,0.0010047030467815,3.989421844482422,114,2,NA,True,False,
change_to_left,False,True,False,True,True,False,False,True,True,swerve_right,0.0011323641295041,4.010633707046509,114,3,NA,True,False,
change_to_left,False,True,False,True,True,False,False,True,True,cruise,0.2212430436413179,3.981423139572144,114,4,NA,True,False,
change_to_left,False,True,False,True,True,False,False,True,True,change_to_right,0.8794805637505398,4.0263426303863525,114,5,NA,True,True,
change_to_left,False,True,False,True,True,False,False,True,True,change_to_left,1.0,2.98234224319458,114,6,NA,True,True,
change_to_right,False,True,False,True,True,False,True,True,True,keep,0.000999,2.9867334365844727,115,1,2501,True,False,*
change_to_right,False,True,False,True,True,False,True,True,True,swerve_left,0.0009993457021042,3.019583225250244,115,2,NA,True,False,
change_to_right,False,True,False,True,True,False,True,True,True,swerve_right,0.0011125114414987,2.99338173866272,115,3,NA,True,False,
change_to_right,False,True,False,True,True,False,True,True,True,cruise,0.2249331964153704,3.0108253955841064,115,4,NA,True,False,
change_to_right,False,True,False,True,True,False,True,True,True,change_to_left,0.875696895312271,3.005220413208008,115,5,NA,True,True,
change_to_right,False,True,False,True,True,False,True,True,True,change_to_right,1.0,1.9887866973876955,115,6,NA,True,True,
change_to_left,False,True,False,True,True,False,True,True,True,keep,0.000999,3.016148567199707,116,1,3860,True,False,*
change_to_left,False,True,False,True,True,False,True,True,True,swerve_left,0.0009993457021042,3.0613646507263184,116,2,NA,True,False,
change_to_left,False,True,False,True,True,False,True,True,True,swerve_right,0.0011128077922563,3.0077853202819824,116,3,NA,True,False,
change_to_left,False,True,False,True,True,False,True,True,True,cruise,0.224933501347568,3.0007078647613525,116,4,NA,True,False,
change_to_left,False,True,False,True,True,False,True,True,True,change_to_right,0.8794809432990482,3.006168365478516,116,5,NA,True,True,
change_to_left,False,True,False,True,True,False,True,True,True,change_to_left,1.0,1.9915084838867188,116,6,NA,True,True,
change_to_right,False,True,False,True,True,True,False,True,True,keep,0.000999,4.049063444137573,117,1,2505,True,False,*
change_to_right,False,True,False,True,True,True,False,True,True,swerve_left,0.0010047030467815,4.055893898010254,117,2,NA,True,False,
change_to_right,False,True,False,True,True,True,False,True,True,swerve_right,0.0011326605008226,4.035178661346436,117,3,NA,True,False,
change_to_right,False,True,False,True,True,True,False,True,True,cruise,0.2212427917691114,3.9770474433898926,117,4,NA,True,False,
change_to_right,False,True,False,True,True,True,False,True,True,change_to_left,0.8762118427615465,4.005917549133301,117,5,NA,True,True,
change_to_right,False,True,False,True,True,True,False,True,True,change_to_right,1.0,3.0156729221343994,117,6,NA,True,True,
change_to_left,False,True,False,True,True,True,False,True,True,keep,0.000999,4.0399229526519775,118,1,2500,True,False,*
change_to_left,False,True,False,True,True,True,False,True,True,swerve_left,0.0010047030467815,4.039286375045776,118,2,NA,True,False,
change_to_left,False,True,False,True,True,True,False,True,True,swerve_right,0.0011323641295041,4.0643839836120605,118,3,NA,True,False,
change_to_left,False,True,False,True,True,True,False,True,True,cruise,0.2212445973043509,3.9723153114318848,118,4,NA,True,False,
change_to_left,False,True,False,True,True,True,False,True,True,change_to_right,0.87947948470058,3.966140985488892,118,5,NA,True,True,
change_to_left,False,True,False,True,True,True,False,True,True,change_to_left,1.0,3.0092978477478027,118,6,NA,True,True,
change_to_right,False,True,False,True,True,True,True,True,True,keep,0.0009989999999999,4.037656784057617,119,1,2621,True,False,*
change_to_right,False,True,False,True,True,True,True,True,True,swerve_left,0.0010047893603873,4.00542426109314,119,2,NA,True,False,
change_to_right,False,True,False,True,True,True,True,True,True,swerve_right,0.0011323641295041,4.043848514556885,119,3,NA,True,False,
change_to_right,False,True,False,True,True,True,True,True,True,cruise,0.231056545545485,4.003988981246948,119,4,NA,True,False,
change_to_right,False,True,False,True,True,True,True,True,True,change_to_left,0.8752497471728773,3.993779420852661,119,5,NA,True,True,
change_to_right,False,True,False,True,True,True,True,True,True,change_to_right,1.0,2.98464584350586,119,6,NA,True,True,
change_to_left,False,False,False,False,False,True,True,True,True,keep,0.000999,3.8979201316833496,12,1,2500,True,False,*
change_to_left,False,False,False,False,False,True,True,True,True,swerve_left,0.0010100624620102,3.860325574874878,12,2,NA,True,False,
change_to_left,False,False,False,False,False,True,True,True,True,swerve_right,0.0010304157390567,3.866260528564453,12,3,NA,True,False,
change_to_left,False,False,False,False,False,True,True,True,True,cruise,0.2172367093981818,3.833799123764038,12,4,NA,True,True,
change_to_left,False,False,False,False,False,True,True,True,True,change_to_right,0.8794526012719774,3.829223155975342,12,5,NA,True,True,
change_to_left,False,False,False,False,False,True,True,True,True,change_to_left,1.0,2.833745241165161,12,6,NA,True,True,
change_to_left,False,True,False,True,True,True,True,True,True,keep,0.000999,4.066661596298218,120,1,5049,True,False,*
change_to_left,False,True,False,True,True,True,True,True,True,swerve_left,0.0010047893646055,3.996922254562378,120,2,NA,True,False,
change_to_left,False,True,False,True,True,True,True,True,True,swerve_right,0.0011323641295041,3.998201608657837,120,3,NA,True,False,
change_to_left,False,True,False,True,True,True,True,True,True,cruise,0.2310565737301357,3.998613595962525,120,4,NA,True,False,
change_to_left,False,True,False,True,True,True,True,True,True,change_to_right,0.8794369694403438,4.006354808807373,120,5,NA,True,True,
change_to_left,False,True,False,True,True,True,True,True,True,change_to_left,1.0,3.042521715164185,120,6,NA,True,True,
cruise,False,True,True,False,False,False,False,True,True,keep,0.000999,4.054971933364868,121,1,2500,True,False,*
cruise,False,True,True,False,False,False,False,True,True,swerve_left,0.0010047030467815,3.970888376235962,121,2,NA,True,False,
cruise,False,True,True,False,False,False,False,True,True,swerve_right,0.0011326605084351,3.994230508804321,121,3,NA,True,False,
cruise,False,True,True,False,False,False,False,True,True,change_to_left,0.876212198642381,4.007711887359619,121,4,NA,True,True,
cruise,False,True,True,False,False,False,False,True,True,change_to_right,0.8803822808126422,3.966540098190308,121,5,NA,True,False,
cruise,False,True,True,False,False,False,False,True,True,cruise,1.0,2.951033592224121,121,6,NA,True,True,
change_to_left,False,True,True,False,False,False,False,True,True,keep,0.000999,4.05658221244812,122,1,2500,True,False,*
change_to_left,False,True,True,False,False,False,False,True,True,swerve_left,0.0010047030467815,3.995251893997192,122,2,NA,True,False,
change_to_left,False,True,True,False,False,False,False,True,True,swerve_right,0.0011326604873254,4.010523796081543,122,3,NA,True,False,
change_to_left,False,True,True,False,False,False,False,True,True,cruise,0.2187836241407172,4.009807109832764,122,4,NA,True,True,
change_to_left,False,True,True,False,False,False,False,True,True,change_to_right,0.880381590031373,3.97883939743042,122,5,NA,True,False,
change_to_left,False,True,True,False,False,False,False,True,True,change_to_left,1.0,3.0193564891815186,122,6,NA,True,True,
cruise,False,True,True,False,False,False,True,True,True,keep,0.000999,4.054521799087524,123,1,2500,True,False,*
cruise,False,True,True,False,False,False,True,True,True,swerve_left,0.0010047030467815,4.031210422515869,123,2,NA,True,False,
cruise,False,True,True,False,False,False,True,True,True,swerve_right,0.0011326604873254,4.027868747711182,123,3,NA,True,False,
