action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id
change_to_left,False,False,False,False,False,True,True,True,True,change_to_right,0.8794526012719774,3.829223155975342,12
change_to_left,False,False,False,False,False,True,True,True,True,cruise,0.21723670939818185,3.833799123764038,12
change_to_left,False,False,False,False,False,True,True,True,True,keep,0.000999,3.8979201316833496,12
change_to_left,False,False,False,False,False,True,True,True,True,swerve_left,0.0010100624620102507,3.860325574874878,12
change_to_left,False,False,False,False,False,True,True,True,True,swerve_right,0.0010304157390567587,3.866260528564453,12
change_to_right,False,False,False,False,True,False,False,True,True,change_to_left,0.8762091600859585,3.8340134620666504,13
change_to_right,False,False,False,False,True,False,False,True,True,change_to_right,1.0,2.7985174655914307,13
change_to_right,False,False,False,False,True,False,False,True,True,cruise,0.21878389606880969,3.82474946975708,13
change_to_right,False,False,False,False,True,False,False,True,True,keep,0.0009989999999999999,3.8861966133117676,13
change_to_right,False,False,False,False,True,False,False,True,True,swerve_left,0.0010047030417476152,3.8265092372894287,13
change_to_right,False,False,False,False,True,False,False,True,True,swerve_right,0.0011326605084351412,3.859269618988037,13
cruise,False,False,False,False,True,False,False,True,True,change_to_left,0.8762125809797837,3.8187718391418457,14
cruise,False,False,False,False,True,False,False,True,True,change_to_right,0.8794812897128951,3.8332691192626953,14
cruise,False,False,False,False,True,False,False,True,True,cruise,1.0,2.799604654312134,14
cruise,False,False,False,False,True,False,False,True,True,keep,0.0009989999999999999,3.8715109825134277,14
cruise,False,False,False,False,True,False,False,True,True,swerve_left,0.001004703046781545,3.8579649925231934,14
cruise,False,False,False,False,True,False,False,True,True,swerve_right,0.0011323641295041124,3.846327066421509,14
change_to_left,False,False,False,False,True,False,False,True,True,change_to_left,1.0,2.8308403491973877,15
change_to_left,False,False,False,False,True,False,False,True,True,change_to_right,0.8794812969207191,3.8470537662506104,15
change_to_left,False,False,False,False,True,False,False,True,True,cruise,0.2187838874001428,3.8368093967437744,15
change_to_left,False,False,False,False,True,False,False,True,True,keep,0.000999,3.914710521697998,15
change_to_left,False,False,False,False,True,False,False,True,True,swerve_left,0.001004703046781545,3.840878486633301,15
change_to_left,False,False,False,False,True,False,False,True,True,swerve_right,0.0011323641295041124,3.8980908393859863,15
change_to_right,False,False,False,False,True,False,True,True,True,change_to_left,0.876194244569334,3.8489017486572266,16
change_to_right,False,False,False,False,True,False,True,True,True,change_to_right,1.0,2.826007604598999,16
change_to_right,False,False,False,False,True,False,True,True,True,cruise,0.21876389972976035,3.861947536468506,16
change_to_right,False,False,False,False,True,False,True,True,True,keep,0.000999,3.893216133117676,16
change_to_right,False,False,False,False,True,False,True,True,True,swerve_left,0.001004703046781545,3.849290370941162,16
change_to_right,False,False,False,False,True,False,True,True,True,swerve_right,0.0011323641295041124,3.8565518856048584,16
